Team Name,Golfer0,Golfer1,Golfer2,Golfer3,Golfer4,Golfer5,Golfer6,Golfer7,Golfer8,Golfer9,Golfer10,Injury1,Injury2,Injury3,Injury4,Injury5,Injury6,Injury7,Injury8,Injury9,Injury10,Max_Injury_Salary,Sub_Salary,Earnings0,Earnings1,Earnings2,Earnings3,Earnings4,Earnings5,Earnings6,Earnings7,Earnings8,Earnings9,Earnings10,Tourney_Nb,Earn_Sum_Tourney,Earn_Sum_YTD,Payout_Sum_YTD,Period,Dates,Payout Tier,Tournament,Pay1,Pay2,Pay3,Pay4,Pay5,Pay6,Pay7,tourney_rank_min,tourney_rank_reverse,tourney_rank_max,pay_sum,weekly_payout
MoB Inc,Bryson DeChambeau,Rory McIlroy,Matt Fitzpatrick,Shane Lowry,Davis Thompson,Wyndham Clark,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,,,,0.0,,,,,,,1,0.0,0.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,65.0,1.0,72.0,0,0.0
MoB Inc,Bryson DeChambeau,Rory McIlroy,Matt Fitzpatrick,Shane Lowry,Davis Thompson,Wyndham Clark,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,,,,21032.0,0.0,,,,,,2,21032.0,21032.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,58.0,12.0,61.0,0,0.0
MoB Inc,Bryson DeChambeau,Rory McIlroy,Matt Fitzpatrick,Shane Lowry,Davis Thompson,Wyndham Clark,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,,,0.0,,,,,,,,3,0.0,21032.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,66.0,1.0,72.0,0,0.0
No Bueno Shank,Tom Hoge,Rory McIlroy,Will Zalatoris,Keegan Bradley,Matt McCarty,Rickie Fowler,Jordan Spieth,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,,,283838.0,18444.0,,,,,,,1,302282.0,302282.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,23.0,50.0,23.0,0,0.0
No Bueno Shank,Tom Hoge,Rory McIlroy,Will Zalatoris,Keegan Bradley,Matt McCarty,Rickie Fowler,Jordan Spieth,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,,169400.0,,0.0,83270.0,,,,,,2,252670.0,554952.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,28.0,45.0,28.0,0,0.0
No Bueno Shank,Tom Hoge,Rory McIlroy,Will Zalatoris,Keegan Bradley,Matt McCarty,Rickie Fowler,Jordan Spieth,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,,,132732.0,0.0,,,,,,,3,132732.0,687684.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,30.0,39.0,34.0,0,0.0
OTP Sandbaggers,Ben Griffin,Aaron Rai,Adam Schenk,Adam Hadwin,Alex Noren,Billy Horschel,Chris Kirk,Keith Mitchell,Stephan Jaeger,Taylor Pendrith,Xander Schauffele,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,24382.0,,283838.0,19314.0,,0.0,0.0,52138.0,513300.0,24382.0,,1,917354.0,917354.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,7.0,66.0,7.0,0,0.0
OTP Sandbaggers,Ben Griffin,Aaron Rai,Adam Schenk,Adam Hadwin,Alex Noren,Billy Horschel,Chris Kirk,Keith Mitchell,Stephan Jaeger,Taylor Pendrith,Xander Schauffele,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,6.5,6.5,0.5,267300.0,,0.0,0.0,,83270.0,42093.0,83270.0,,,,2,475933.0,1393287.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,14.0,59.0,14.0,0,0.0
OTP Sandbaggers,Ben Griffin,Aaron Rai,Adam Schenk,Adam Hadwin,Alex Noren,Billy Horschel,Chris Kirk,Keith Mitchell,Stephan Jaeger,Taylor Pendrith,Xander Schauffele,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,6.5,6.5,0.5,0.0,0.0,74068.0,,,,,,0.0,302250.0,,3,376318.0,1769605.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,13.0,60.0,13.0,0,0.0
Q School,Keegan Bradley,Tony Finau,Adam Scott,Brian Harman,Collin Morikawa,Si Woo Kim,Nicolai Hojgaard,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,80088.0,,0.0,,,,,,1,80088.0,80088.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,50.0,21.0,52.0,0,0.0
