Tourney_Nb,Team Name,InjurySub,Golfer1,Golfer2,Golfer3,Golfer4,Golfer5,Golfer6,Golfer7,Golfer8,Golfer9,Golfer10
1,Stay Up!!,Emiliano Grillo,Collin Morikawa,Akshay Bhatia,Jordan Spieth,Eric Cole,Min Woo Lee,Chris Kirk,Beau Hossler,Doug Ghim,,
1,Stay Up!!,,,,,356700.0,,,,17226.0,,
1,Team Miller Time,Hideki Matsuyama,Xander Schauffele,Ludvig Aberg,Alex Noren,Aaron Rai,Taylor Pendrith,,,,,
1,Team Miller Time,,,,,,24382.0,,,,,
1,The Hulkamaniacs,Matt Kuchar,Xander Schauffele,Si Woo Kim,Ben Griffin,Matt McCarty,Corey Conners,Harry Hall,Matthieu Pavon,Thomas Detry,,
1,The Hulkamaniacs,,,,24382.0,18444.0,,195025.0,,20387.0,,
1,Three Out of the Sand,Scottie Scheffler,Austin Eckroat,Denny McCarthy,Davis Thompson,Justin Thomas,Ludvig Aberg,Robert MacIntyre,,,,
1,Three Out of the Sand,,,132675.0,,,,20387.0,,,,
1,Titos at the Turn,Patrick Cantlay,Ludvig Aberg,Hideki Matsuyama,Si Woo Kim,Rasmus Hojgaard,Chris Kirk,Michael Thorbjornsen,,,,
1,Titos at the Turn,,,132675.0,,,,,,,,
1,Turd Ferguson,Shane Lowry,Scottie Scheffler,Sam Burns,Maverick McNealy,Justin Rose,Frankie Capan III,,,,,
1,Turd Ferguson,,,,24382.0,,24382.0,,,,,
1,WVU69,Taylor Moore,Austin Eckroat,Corey Conners,Eric Cole,Matt McCarty,Nick Dunlap,Sam Burns,Sepp Straka,Taylor Pendrith,Maverick McNealy,
1,WVU69,,,,356700.0,18444.0,195025.0,,52138.0,24382.0,24382.0,
1,Walking Bogey,Taylor Pendrith,Ludvig Aberg,Sungjae Im,Maverick McNealy,Davis Thompson,Austin Eckroat,Harry Hall,Ben Griffin,Patrick Fishburn,,
1,Walking Bogey,,,,24382.0,,,195025.0,24382.0,283838.0,,
1,Who's Up and Why Aren't They Hitting,Sahith Theegala,Scottie Scheffler,Patrick Cantlay,Shane Lowry,,,,,,,
1,Who's Up and Why Aren't They Hitting,,,,,,,,,,,
1,Wrecking Crew,Davis Thompson,Xander Schauffele,Akshay Bhatia,Brian Harman,Jordan Spieth,Keegan Bradley,Michael Thorbjornsen,,,,
1,Wrecking Crew,,,,80088.0,,283838.0,,,,,
1,Young Guns,Chris Kirk,Akshay Bhatia,Matt Fitzpatrick,Nick Dunlap,Robert MacIntyre,Christiaan Bezuidenhout,Taylor Pendrith,Aaron Rai,Tom Hoge,Brian Harman,Matthieu Pavon
1,Young Guns,,,,195025.0,20387.0,,24382.0,,24382.0,80088.0,
1,the Lacey Underalls,Erik van Rooyen,Collin Morikawa,Max Homa,Billy Horschel,Bryson DeChambeau,Maverick McNealy,Rickie Fowler,Harry Hall,,,
1,the Lacey Underalls,,,,,,24382.0,,195025.0,,,
